species	water	pctnit
1	50	3.644
1	50	3.5
1	50	3.509
1	50	3.137
1	50	3.1
1	50	3.081
1	50	3.172
1	50	3.05
1	50	3.096
1	150	2.763
1	150	2.671
1	150	2.631
1	150	2.795
1	150	2.797
1	150	2.784
1	150	2.817
1	150	2.798
1	150	2.816
1	250	2.876
1	250	2.891
1	250	2.85
1	250	3.163
1	250	3.072
1	250	3.023
1	250	2.501
1	250	2.52
1	250	2.69
1	350	2.996
1	350	3.012
1	350	3.04
1	350	2.944
1	350	2.946
1	350	2.922
1	350	2.846
1	350	2.865
1	350	2.855
1	450	2.92
1	450	2.905
1	450	3.012
1	450	3.114
1	450	3.156
1	450	3.142
1	450	3.078
1	450	3.044
1	450	3.096
1	550	3.095
1	550	3.115
1	550	3.134
1	550	3.192
1	550	3.142
1	550	3.19
1	550	3.042
1	550	2.997
1	550	2.96
1	650	3.335
1	650	3.345
1	650	3.343
1	650	3.64
1	650	3.6
1	650	3.604
1	650	3.083
1	650	3.056
1	650	2.995
2	50	2.287
2	50	2.367
2	50	2.315
2	50	2.63
2	50	2.622
2	50	2.64
2	50	2.204
2	50	2.34
2	50	2.389
2	150	2.264
2	150	2.239
2	150	2.197
2	150	1.959
2	150	1.94
2	150	1.858
2	150	1.978
2	150	2.003
2	150	2.014
2	250	2.098
2	250	2.134
2	250	2.087
2	250	2.199
2	250	2.181
2	250	2.187
2	250	1.87
2	250	1.841
2	250	1.875
2	350	2.058
2	350	2.014
2	350	2.063
2	350	2.173
2	350	2.186
2	350	2.16
2	350	1.693
2	350	1.693
2	350	1.666
2	450	2.09
2	450	2.095
2	450	2.093
2	450	2.151
2	450	1.943
2	450	1.915
2	450	1.782
2	450	1.777
2	450	1.758
2	550	2.257
2	550	2.183
2	550	2.212
2	550	1.608
2	550	1.585
2	550	1.613
2	550	2.137
2	550	2.137
2	550	2.123
2	650	2.397
2	650	2.257
2	650	2.371
2	650	2.079
2	650	2.058
2	650	2.087
2	650	2.208
2	650	2.274
2	650	2.235
3	50	3.122
3	50	3.095
3	50	3.092
3	50	3.208
3	50	3.237
3	50	3.177
3	50	2.85
3	50	2.867
3	50	2.882
3	150	3.18
3	150	3.118
3	150	2.987
3	150	2.846
3	150	2.813
3	150	2.81
3	150	3.343
3	150	3.588
3	150	3.702
3	250	3.453
3	250	3.388
3	250	3.454
3	250	3.289
3	250	3.275
3	250	3.222
3	250	2.936
3	250	2.927
3	250	2.859
3	350	3.02
3	350	3.054
3	350	3.024
3	350	2.891
3	350	2.866
3	350	2.907
3	350	3.647
3	350	3.281
3	350	3.587
3	450	3.464
3	450	3.515
3	450	3.534
3	450	3.663
3	450	3.56
3	450	3.617
3	450	3.135
3	450	3.014
3	450	3.058
3	550	3.396
3	550	3.38
3	550	3.344
3	550	3.958
3	550	3.955
3	550	3.902
3	550	3.218
3	550	3.177
3	550	3.135
3	650	3.886
3	650	3.83
3	650	3.836
3	650	3.688
3	650	3.639
3	650	3.557
3	650	3.112
3	650	3.184
3	650	3.161
4	50	1.501
4	50	1.539
4	50	1.456
4	50	1.216
4	50	1.217
4	50	1.166
4	50	1.621
4	50	1.559
4	50	1.532
4	150	1.188
4	150	1.195
4	150	1.167
4	150	1.064
4	150	1.085
4	150	1.076
4	150	1.65
4	150	1.653
4	150	1.655
4	250	1.137
4	250	1.135
4	250	1.154
4	250	1.297
4	250	1.243
4	250	1.23
4	250	0.975
4	250	0.982
4	250	0.975
4	350	0.966
4	350	0.969
4	350	0.988
4	350	1.187
4	350	1.177
4	350	1.157
4	350	0.873
4	350	0.877
4	350	0.884
4	450	1.558
4	450	1.554
4	450	1.537
4	450	0.973
4	450	0.981
4	450	0.972
4	450	1.252
4	450	1.255
4	450	1.244
4	550	1.291
4	550	1.275
4	550	1.281
4	550	1.339
4	550	1.389
4	550	1.337
4	550	1.164
4	550	1.18
4	550	1.185
4	650	0.98
4	650	0.964
4	650	0.981
4	650	0.755
4	650	0.745
4	650	0.719
4	650	1.222
4	650	1.229
4	650	1.214
