"TYPE"	"SYMBOL"	"OBSNO"	"ROR5"	"DE"	"SALESGR5"	"EPS5"	"NPM1"	"PE"	"PAYOUTR1"
"Chem"	"dia"	1	13	0.7	20.2	15.5	7.2	9	0.426398
"Chem"	"dow"	2	13	0.7	17.2	12.7	7.3	8	0.380693
"Chem"	"stf"	3	13	0.4	14.5	15.1	7.9	8	0.40678
"Chem"	"dd"	4	12.2	0.2	12.9	11.1	5.4	9	0.568182
"Chem"	"uk"	5	10	0.4	13.6	8	6.7	5	0.324544
"Chem"	"psm"	6	9.8	0.5	12.1	14.5	3.8	6	0.5108083
"Chem"	"gra"	7	9.9	0.5	10.2	7	4.8	10	0.378913
"Chem"	"hpc"	8	10.3	0.3	11.4	8.7	4.5	9	0.481928
"Chem"	"mtc"	9	9.5	0.4	13.5	5.9	3.5	11	0.573248
"Chem"	"acy"	10	9.9	0.4	12.1	4.2	4.6	9	0.490798
"Chem"	"cz"	11	7.9	0.4	10.8	16	3.4	7	0.48913
"Chem"	"ald"	12	7.3	0.6	15.4	4.9	5.1	7	0.272277
"Chem"	"rom"	13	7.8	0.4	11	3	5.6	7	0.315646
"Chem"	"rei"	14	6.5	0.4	18.7	-3.1	1.3	10	0.384
"Heal"	"hum"	15	9.2	2.7	39.8	34.4	5.8	21	0.390879
"Heal"	"hca"	16	8.9	0.9	27.8	23.5	6.7	22	0.16129
"Heal"	"nme"	17	8.4	1.2	38.7	24.6	4.9	19	0.30303
"Heal"	"ami"	18	9	1.1	22.1	21.9	6	19	0.303318
"Heal"	"ahs"	19	12.9	0.3	16	16.2	5.7	14	0.2875
"Groc"	"lks"	20	15.2	0.7	15.3	11.6	1.5	8	0.59893
"Groc"	"win"	21	18.4	0.2	15	11.6	1.6	9	0.578313
"Groc"	"sgl"	22	9.9	1.6	9.6	24.3	1	6	0.194946
"Groc"	"slc"	23	9.9	1.1	17.9	15.3	1.6	8	0.32107
"Groc"	"kr"	24	10.2	0.5	12.6	18	0.9	6	0.453731
"Groc"	"sa"	25	9.2	1	11.6	4.5	0.8	7	0.594966
